index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-7e1ab809-3669-9615-41ad-431040847bff,535.154.05,NVIDIA A800-SXM4-80GB,1321423020298,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
229509,[Not Found],GPU-7e1ab809-3669-9615-41ad-431040847bff,NVIDIA A800-SXM4-80GB,32328

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,81920,10794,70434,2025/06/16 01:54:24.492
0,0,81920,10794,70434,2025/06/16 01:54:29.517
0,0,81920,10794,70434,2025/06/16 01:54:34.568
0,0,81920,10794,70434,2025/06/16 01:54:39.621
0,0,81920,10794,70434,2025/06/16 01:54:44.674
0,0,81920,10794,70434,2025/06/16 01:54:49.729
0,0,81920,10794,70434,2025/06/16 01:54:54.778
0,0,81920,10794,70434,2025/06/16 01:54:59.810
0,0,81920,10794,70434,2025/06/16 01:55:04.864
0,0,81920,10794,70434,2025/06/16 01:55:09.921
0,0,81920,10794,70434,2025/06/16 01:55:14.973
0,0,81920,10794,70434,2025/06/16 01:55:20.029
0,0,81920,10794,70434,2025/06/16 01:55:25.085
0,0,81920,10794,70434,2025/06/16 01:55:30.141
0,0,81920,10794,70434,2025/06/16 01:55:35.178
0,0,81920,10794,70434,2025/06/16 01:55:40.233
0,0,81920,10794,70434,2025/06/16 01:55:45.265
0,0,81920,10794,70434,2025/06/16 01:55:50.321
0,0,81920,10794,70434,2025/06/16 01:55:55.358
0,0,81920,10794,70434,2025/06/16 01:56:00.413
0,0,81920,10794,70434,2025/06/16 01:56:05.442
0,0,81920,10794,70434,2025/06/16 01:56:10.490
0,0,81920,10794,70434,2025/06/16 01:56:15.528
0,0,81920,10794,70434,2025/06/16 01:56:20.560
0,0,81920,10794,70434,2025/06/16 01:56:25.593
0,0,81920,10794,70434,2025/06/16 01:56:30.620
0,0,81920,10794,70434,2025/06/16 01:56:35.658
0,0,81920,10794,70434,2025/06/16 01:56:40.692
0,0,81920,10794,70434,2025/06/16 01:56:45.728
0,0,81920,10794,70434,2025/06/16 01:56:50.767
0,0,81920,10794,70434,2025/06/16 01:56:55.799
0,0,81920,10794,70434,2025/06/16 01:57:00.826
0,0,81920,10794,70434,2025/06/16 01:57:05.859
0,0,81920,10794,70434,2025/06/16 01:57:10.887
0,0,81920,10794,70434,2025/06/16 01:57:15.928
0,0,81920,10794,70434,2025/06/16 01:57:20.964
0,0,81920,10794,70434,2025/06/16 01:57:26.002
0,0,81920,10794,70434,2025/06/16 01:57:31.041
0,0,81920,10794,70434,2025/06/16 01:57:36.077
0,0,81920,10794,70434,2025/06/16 01:57:41.107
0,0,81920,10794,70434,2025/06/16 01:57:46.138
0,0,81920,10794,70434,2025/06/16 01:57:51.174
0,0,81920,10794,70434,2025/06/16 01:57:56.213
0,0,81920,10794,70434,2025/06/16 01:58:01.241
0,0,81920,10794,70434,2025/06/16 01:58:06.279
0,0,81920,10794,70434,2025/06/16 01:58:11.316
0,0,81920,10794,70434,2025/06/16 01:58:16.352
0,0,81920,10794,70434,2025/06/16 01:58:21.388
0,0,81920,10794,70434,2025/06/16 01:58:26.423
0,0,81920,10794,70434,2025/06/16 01:58:31.476
0,0,81920,10794,70434,2025/06/16 01:58:36.531
0,0,81920,10794,70434,2025/06/16 01:58:41.589
0,0,81920,10794,70434,2025/06/16 01:58:46.645
0,0,81920,10794,70434,2025/06/16 01:58:51.701
0,0,81920,10794,70434,2025/06/16 01:58:56.730
